Purchase Name/Reason,Purchase Amount,Purchase Date
ULINE Shipping Supplies,69.44,11/29/2021
ULINE Shipping Supplies,86.8,11/2/2021
AMAZON Shipping Supplies,28.22,12/30/2021
AmaZON Shipping Supplies,16.28,11/12/2022
Amazon Shipping Supplies,54.3,1/6/2022
Amazon Shipping Supplies,42.7,3/30/2022
Amazon Ink,8.57,4/16/2022
Amazon bubble wrap,27.63,12/1/2022
Amazon restock,15.74,6/4/2022
Amazon bubble wrap,25.11,12/1/2022
Amazon Shipping Supplies,31.44,4/26/2022
amazon photo stuff,325.17,4/16/2022
VistaPrint other supplies,44.86,6/28/2022
Amazon Shipping Supplies,21.23,6/22/2022
Taxed Fee,50,7/6/2022
Payment To Shayan,400,8/30/2022
Amazon Shipping Supplies,27.13,12/21/2022
Amazon Shipping Supplies,10.81,3/2/2023
Box Genie,113.31,7/22/2022
Vistaprint stamp,16,3/22/2022
250 logoBags from alibababa,96.31,11/7/2022
200 pinkBoxes and 200 blue boxes from alibaba,141.15,6/8/2022
